STATE,COUNTY_x,FIPS,pctile_pm25,pctile_diesel,pctile_traffic,SVI,E_TOTPOP,EPL_POV200,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,EPL_NPL,EPL_TRI,EPL_TSD,E_PARK,EPL_ROAD,EPL_IMPWTR,EPL_NEHD,EPL_SMOKE,EPL_CFLD,EPL_DRGT,EPL_HRCN,EPL_RFLD,EPL_SWND,EPL_TRND,Tribe_PCT_Tract,P_PM25,P_OZONE,P_DSLPM,P_RSEI_AIR,P_PTRAF,P_PTSDF,T_UNEMPPCT,T_D5_RSEI_AIR,T_D5_PWDIS
Georgia,Fulton County,13121009406,90,98,99,0.1555,1658,0.4364,0.5463,0.0,0.9704,0.9248,0.0,0.8262,0.0,100.0,0.6136,0.5292,0.0392,0.1172,0.0,0.7189,0.4824,0.6659,0.392,0.0,0.0,84.0,43.0,93.0,42.0,94.0,60.0,21 %ile,36 %ile,26 %ile
Georgia,Fulton County,13121009407,91,99,99,0.0997,1090,0.0919,0.5463,0.0,0.9711,0.9248,0.0,0.7049,0.0,100.0,0.6136,0.4867,0.0392,0.1172,0.0,0.7189,0.4824,0.0,0.392,0.0,0.0,84.0,43.0,93.0,42.0,92.0,59.0,55 %ile,40 %ile,28 %ile
Georgia,Fulton County,13121009408,91,99,99,0.3001,1648,0.4726,0.5463,0.0,0.9711,0.9248,0.0,0.5784,0.0,100.0,0.6136,0.5717,0.0392,0.1172,0.0,0.7189,0.4824,0.0,0.392,0.0,0.0,84.0,43.0,93.0,43.0,92.0,60.0,6 %ile,52 %ile,37 %ile
Georgia,Fulton County,13121009409,91,99,97,0.837,2075,0.4532,0.5463,0.0,0.9711,0.9248,0.0,0.0,0.0,100.0,0.6136,0.4867,0.0392,0.1172,0.0,0.7189,0.4824,0.6659,0.392,0.0,0.0,84.0,43.0,93.0,43.0,89.0,59.0,60 %ile,47 %ile,33 %ile
Georgia,Fulton County,13121009410,91,98,81,0.1608,3592,0.0968,0.5463,0.0,0.9671,0.9248,0.0,0.0,0.0,100.0,0.6136,0.4867,0.0392,0.1172,0.0,0.7189,0.4824,0.6659,0.392,0.0,0.0,84.0,43.0,88.0,42.0,83.0,57.0,0 %ile,26 %ile,19 %ile
Georgia,Fulton County,13121009411,91,98,94,0.1691,2485,0.2615,0.5463,0.0,0.9692,0.9248,0.0,0.3125,0.0,100.0,0.6136,0.4867,0.0392,0.1172,0.0,0.7189,0.4824,0.6659,0.392,0.0,0.0,84.0,43.0,92.0,43.0,89.0,59.0,33 %ile,30 %ile,21 %ile
Georgia,Fulton County,13121009501,90,94,78,0.0381,3491,0.0592,0.6153,0.0,0.9352,0.9248,0.0,0.3994,0.5891,100.0,0.5211,0.697,0.0392,0.1172,0.0,0.7213,0.4824,0.6659,0.392,0.0,0.0,84.0,41.0,84.0,44.0,86.0,64.0,0 %ile,21 %ile,15 %ile
Georgia,Fulton County,13121009503,92,93,86,0.6322,1633,0.6363,0.5463,0.0,0.935,0.9248,0.0,0.0,0.0,100.0,0.6136,0.6995,0.0392,0.127,0.0,0.7189,0.4824,0.0,0.392,0.0,0.0,84.0,41.0,84.0,43.0,84.0,59.0,0 %ile,70 %ile,54 %ile
Georgia,Fulton County,13121009504,92,93,93,0.2109,2683,0.4454,0.5463,0.0,0.935,0.9248,0.0,0.0,0.0,100.0,0.6136,0.5956,0.0392,0.127,0.0,0.7213,0.4824,0.6659,0.392,0.0,0.0,85.0,41.0,84.0,44.0,84.0,58.0,71 %ile,22 %ile,16 %ile
Georgia,Fulton County,13121009601,93,97,93,0.0489,3190,0.2219,0.5463,0.0,0.9564,0.9248,0.0,0.0,0.0,100.0,0.6136,0.5532,0.0392,0.127,0.0,0.716,0.4824,0.6659,0.392,0.0,0.0,84.0,42.0,89.0,43.0,84.0,54.0,0 %ile,27 %ile,21 %ile
Georgia,Fulton County,13121009604,91,98,88,0.0831,2879,0.3649,0.5463,0.0,0.9668,0.9248,0.0,0.0,0.0,100.0,0.6136,0.6995,0.0392,0.127,0.0,0.7189,0.4824,0.0,0.392,0.0,0.0,84.0,42.0,92.0,43.0,85.0,58.0,0 %ile,33 %ile,23 %ile
Georgia,Fulton County,13121009605,91,98,94,0.0497,2625,0.2773,0.5463,0.0,0.9668,0.9248,0.0,0.0,0.0,100.0,0.6136,0.6461,0.0392,0.127,0.0,0.7189,0.4824,0.0,0.392,0.0,0.0,84.0,42.0,93.0,43.0,85.0,56.0,26 %ile,27 %ile,18 %ile
Georgia,Fulton County,13121009606,92,97,95,0.0536,1618,0.0351,0.5463,0.0,0.9636,0.9248,0.0,0.0,0.0,100.0,0.6136,0.519,0.0392,0.1172,0.0,0.7189,0.4824,0.0,0.392,0.0,0.0,84.0,42.0,92.0,43.0,88.0,58.0,20 %ile,17 %ile,12 %ile
Georgia,Fulton County,13121009607,92,97,91,0.4444,4716,0.2983,0.5463,0.0,0.9636,0.9248,0.0,0.0,0.0,100.0,0.6136,0.4893,0.0392,0.1172,0.0,0.716,0.4824,0.0,0.392,0.0,0.0,84.0,43.0,85.0,42.0,84.0,56.0,11 %ile,35 %ile,26 %ile
Georgia,Fulton County,13121009700,89,91,94,0.1598,3852,0.0795,0.6724,0.0,0.9305,0.9248,0.0,0.5769,0.4581,99.945,0.4623,0.5391,0.0392,0.1172,0.0,0.7635,0.4824,0.6659,0.392,0.0,0.0,84.0,36.0,84.0,49.0,85.0,60.0,35 %ile,27 %ile,21 %ile
Georgia,Fulton County,13121009802,93,89,90,0.0691,3936,0.0406,0.6724,0.0,0.9136,0.9248,0.0,0.0,0.0,100.0,0.4075,0.6096,0.0392,0.1172,0.0,0.7598,0.4824,0.6659,0.392,0.0,0.0,85.0,39.0,83.0,45.0,81.0,51.0,15 %ile,17 %ile,15 %ile
Georgia,Fulton County,13121009803,90,92,89,0.4012,2940,0.3858,0.5463,0.0,0.9268,0.9248,0.0,0.0,0.0,100.0,0.4838,0.5636,0.0392,0.1172,0.0,0.7189,0.4824,0.0,0.392,0.0,0.0,85.0,39.0,84.0,48.0,84.0,59.0,4 %ile,35 %ile,27 %ile
Georgia,Fulton County,13121009804,90,92,93,0.0004,2436,0.0561,0.5463,0.0,0.9268,0.9248,0.0,0.4794,0.0,100.0,0.5443,0.6995,0.0338,0.1172,0.0,0.7213,0.4824,0.6659,0.392,0.0,0.0,84.0,39.0,84.0,46.0,86.0,64.0,18 %ile,17 %ile,12 %ile
Georgia,Fulton County,13121009900,93,85,69,0.0925,4966,0.036,0.5463,0.0,0.8958,0.9248,0.0,0.0,0.0,100.0,0.4194,0.5625,0.0392,0.127,0.0,0.7189,0.4824,0.6659,0.392,0.0,0.0,85.0,41.0,76.0,44.0,78.0,54.0,52 %ile,17 %ile,14 %ile
Georgia,Fulton County,13121010003,94,91,97,0.2497,3698,0.1932,0.5463,0.0,0.9233,0.9248,0.0,0.0,0.0,100.0,0.6136,0.5516,0.0392,0.127,0.0,0.716,0.4824,0.0,0.392,0.0,0.0,84.0,42.0,86.0,43.0,85.0,54.0,40 %ile,41 %ile,32 %ile
Georgia,Fulton County,13121010004,94,91,89,0.0371,2221,0.4567,0.5463,0.0,0.9233,0.9248,0.0,0.0,0.0,100.0,0.6136,0.5536,0.0392,0.127,0.0,0.716,0.4824,0.6659,0.392,0.0,0.0,85.0,42.0,80.0,44.0,78.0,50.0,4 %ile,30 %ile,25 %ile
Georgia,Fulton County,13121010005,94,93,86,0.0061,3154,0.0043,0.5463,0.0,0.9272,0.9248,0.0,0.0,0.0,100.0,0.6136,0.5536,0.0392,0.1365,0.0,0.716,0.4824,0.6659,0.392,0.0,0.0,84.0,42.0,83.0,47.0,80.0,55.0,34 %ile,18 %ile,13 %ile
Georgia,Fulton County,13121010006,94,93,98,0.3911,4057,0.2944,0.5463,0.0,0.9272,0.9248,0.0,0.0,0.0,100.0,0.6136,0.5536,0.0392,0.1172,0.0,0.716,0.4824,0.0,0.392,0.0,0.0,84.0,42.0,83.0,43.0,87.0,55.0,71 %ile,32 %ile,24 %ile
Georgia,Fulton County,13121010007,94,93,88,0.1641,1850,0.0271,0.5463,0.0,0.9309,0.9248,0.0,0.0,0.0,100.0,0.6136,0.5506,0.0392,0.1172,0.0,0.716,0.4824,0.0,0.392,0.0,0.0,84.0,43.0,82.0,44.0,82.0,56.0,0 %ile,28 %ile,19 %ile
Georgia,Fulton County,13121010106,95,84,91,0.1918,3674,0.2987,0.3188,0.0,0.8906,0.9248,0.0,0.0,0.0,94.1411,0.4403,0.5064,0.0392,0.1465,0.0,0.7432,0.4172,0.6659,0.4183,0.0,0.0,83.0,38.0,77.0,46.0,68.0,33.0,48 %ile,27 %ile,19 %ile
Georgia,Fulton County,13121010107,97,75,19,0.0342,1935,0.0436,0.3188,0.0,0.8273,0.9248,0.0,0.0,0.0,29.2109,0.125,0.5064,0.0392,0.1551,0.0,0.7268,0.4172,0.6659,0.4183,0.0,0.0,83.0,40.0,70.0,48.0,64.0,43.0,56 %ile,21 %ile,15 %ile
Georgia,Fulton County,13121010108,98,78,64,0.2299,4615,0.0872,0.3188,0.0,0.8411,0.9248,0.0,0.0,0.0,72.06,0.343,0.5064,0.0392,0.1365,0.0,0.7213,0.4172,0.6659,0.4183,0.0,0.0,83.0,41.0,72.0,50.0,67.0,45.0,46 %ile,26 %ile,17 %ile
Georgia,Fulton County,13121010115,98,96,92,0.1677,2764,0.0046,0.5463,0.0,0.9349,0.9248,0.0,0.0,0.7333,100.0,0.6136,0.5536,0.0392,0.1365,0.0,0.7096,0.4824,0.6659,0.392,0.0,0.0,84.0,42.0,88.0,47.0,84.0,57.0,10 %ile,28 %ile,21 %ile
Georgia,Fulton County,13121010117,96,81,94,0.3854,4354,0.4156,0.3188,0.0,0.8673,0.9248,0.0,0.0,0.0,100.0,0.6136,0.5484,0.0392,0.1551,0.0,0.7306,0.4172,0.0,0.4183,0.0,0.0,84.0,38.0,73.0,46.0,69.0,29.0,41 %ile,32 %ile,21 %ile
Georgia,Fulton County,13121010120,93,88,95,0.1695,2606,0.1191,0.3188,0.0,0.9119,0.9248,0.0,0.0,0.0,100.0,0.6136,0.5096,0.0392,0.1465,0.0,0.7564,0.4172,0.6659,0.4183,0.0,0.0,83.0,36.0,79.0,46.0,65.0,27.0,57 %ile,16 %ile,12 %ile
Georgia,Fulton County,13121010121,97,86,94,0.2451,2407,0.1397,0.4757,0.0,0.9017,0.9248,0.0,0.0,0.0,100.0,0.6136,0.5511,0.0392,0.1551,0.0,0.7333,0.4824,0.0,0.392,0.0,0.0,84.0,40.0,78.0,46.0,80.0,36.0,22 %ile,37 %ile,28 %ile
Georgia,Fulton County,13121010124,94,85,92,0.5977,2340,0.5094,0.3188,0.0,0.9052,0.9248,0.0,0.0,0.0,100.0,0.6136,0.5078,0.0392,0.1465,0.0,0.7347,0.4172,0.0,0.4183,0.0,0.0,83.0,37.0,79.0,46.0,65.0,29.0,68 %ile,49 %ile,35 %ile
Georgia,Fulton County,13121010125,94,85,86,0.5988,4207,0.7843,0.3188,0.0,0.8964,0.9248,0.0,0.0,0.0,89.1119,0.6136,0.5452,0.0392,0.1465,0.0,0.7564,0.4172,0.0,0.4183,0.0,0.0,83.0,37.0,77.0,46.0,65.0,29.0,84 %ile,51 %ile,37 %ile
Georgia,Fulton County,13121010126,97,85,84,0.3947,2399,0.2567,0.4757,0.0,0.8973,0.9248,0.0,0.0,0.0,100.0,0.6136,0.5484,0.0392,0.1551,0.0,0.7306,0.4782,0.6659,0.4064,0.0,0.0,84.0,39.0,75.0,46.0,73.0,32.0,72 %ile,39 %ile,30 %ile
Georgia,Fulton County,13121010127,97,85,95,0.2893,2122,0.0941,0.4757,0.0,0.8973,0.9248,0.0,0.0,0.0,100.0,0.6136,0.5484,0.0392,0.1551,0.0,0.7333,0.4611,0.6659,0.4074,0.0,0.0,84.0,39.0,78.0,46.0,76.0,32.0,3 %ile,40 %ile,29 %ile
Georgia,Fulton County,13121010128,98,93,98,0.068,1699,0.0436,0.5463,0.0,0.9336,0.9248,0.0,0.0,0.5838,100.0,0.6136,0.7037,0.0392,0.1365,0.0,0.7061,0.4824,0.6659,0.392,0.0,0.0,85.0,41.0,82.0,46.0,86.0,41.0,0 %ile,29 %ile,22 %ile
Georgia,Fulton County,13121010129,98,93,97,0.2429,4211,0.3733,0.5463,0.0,0.9336,0.9248,0.0,0.0,0.7631,100.0,0.6136,0.6271,0.0392,0.1365,0.0,0.7061,0.4824,0.0,0.392,0.0,0.0,85.0,41.0,85.0,46.0,86.0,48.0,4 %ile,45 %ile,34 %ile
Georgia,Fulton County,13121010130,97,88,95,0.2022,3813,0.028,0.3188,0.0,0.912,0.9248,0.0,0.0,0.0,62.7094,0.6136,0.5484,0.0392,0.1551,0.0,0.7321,0.4784,0.6659,0.4061,0.0,0.0,84.0,40.0,83.0,46.0,79.0,34.0,0 %ile,29 %ile,19 %ile
Georgia,Fulton County,13121010131,97,88,97,0.2548,2525,0.0149,0.3188,0.0,0.9115,0.9248,0.0,0.0,0.0,100.0,0.6136,0.5472,0.0392,0.1551,0.0,0.7321,0.4172,0.6659,0.4183,0.0,0.0,84.0,39.0,80.0,46.0,76.0,31.0,38 %ile,18 %ile,12 %ile
Georgia,Fulton County,13121010132,98,92,98,0.5542,3352,0.3076,0.4757,0.0,0.9287,0.9248,0.0,0.0,0.7209,100.0,0.6136,0.7015,0.0392,0.1365,0.0,0.7061,0.4824,0.0,0.392,0.0,0.0,85.0,41.0,86.0,46.0,87.0,47.0,34 %ile,38 %ile,29 %ile
Georgia,Fulton County,13121010133,98,92,96,0.2828,5257,0.1874,0.4757,0.0,0.9287,0.9248,0.0,0.0,0.638,93.8962,0.6136,0.6277,0.0338,0.1551,0.0,0.7333,0.4824,0.6659,0.392,0.0,0.0,84.0,41.0,84.0,46.0,85.0,45.0,58 %ile,31 %ile,23 %ile
Georgia,Fulton County,13121010134,95,83,92,0.2879,2178,0.3133,0.3188,0.0,0.8731,0.9248,0.0,0.0,0.0,100.0,0.6136,0.5484,0.0392,0.1465,0.0,0.7306,0.4172,0.0,0.4183,0.0,0.0,84.0,38.0,74.0,46.0,68.0,30.0,29 %ile,33 %ile,22 %ile
Georgia,Fulton County,13121010135,95,83,98,0.8435,2221,0.8825,0.3188,0.0,0.8786,0.9248,0.0,0.0,0.0,63.0866,0.6136,0.5463,0.0392,0.1465,0.0,0.7347,0.4172,0.0,0.4183,0.0,0.0,84.0,38.0,75.0,46.0,76.0,31.0,6 %ile,51 %ile,35 %ile
Georgia,Fulton County,13121010136,97,90,90,0.1839,3417,0.262,0.5463,0.0,0.9191,0.9248,0.0,0.0,0.0,100.0,0.6136,0.5536,0.0392,0.127,0.0,0.7023,0.4824,0.6659,0.392,0.0,0.0,85.0,42.0,78.0,44.0,78.0,47.0,36 %ile,31 %ile,26 %ile
Georgia,Fulton County,13121010137,97,90,84,0.3606,3569,0.047,0.5463,0.0,0.9191,0.9248,0.0,0.0,0.5051,96.3333,0.6136,0.555,0.0392,0.1365,0.0,0.7023,0.4824,0.0,0.392,0.0,0.0,85.0,41.0,83.0,46.0,78.0,42.0,10 %ile,35 %ile,27 %ile
Georgia,Fulton County,13121010204,95,83,80,0.0338,5278,0.0266,0.6724,0.0,0.8879,0.9248,0.0,0.0,0.0,98.2121,0.5785,0.6211,0.0499,0.1551,0.0,0.7758,0.4823,0.6659,0.398,0.0,0.0,85.0,38.0,78.0,43.0,73.0,30.0,8 %ile,20 %ile,21 %ile
Georgia,Fulton County,13121010211,95,82,69,0.0399,3627,0.048,0.5463,0.0,0.87,0.9248,0.0,0.0,0.0,100.0,0.412,0.5532,0.0392,0.127,0.0,0.7023,0.4824,0.0,0.392,0.0,0.0,85.0,40.0,74.0,43.0,75.0,43.0,18 %ile,21 %ile,18 %ile
Georgia,Fulton County,13121010212,97,88,96,0.801,5736,0.5577,0.5463,0.0,0.9127,0.9248,0.0,0.0,0.0,93.5621,0.6136,0.6808,0.0392,0.1365,0.0,0.7128,0.4824,0.6659,0.392,0.0,0.0,85.0,41.0,82.0,45.0,81.0,39.0,79 %ile,45 %ile,37 %ile
Georgia,Fulton County,13121010213,95,74,55,0.185,883,0.2242,0.4757,0.0,0.8432,0.9248,0.0,0.0,0.0,100.0,0.5755,0.5484,0.0392,0.1551,0.0,0.7514,0.4172,0.6659,0.4183,0.0,0.0,84.0,38.0,63.0,46.0,60.0,25.0,9 %ile,20 %ile,15 %ile
Georgia,Fulton County,13121010214,93,75,87,0.6492,2189,0.7821,0.4757,0.0,0.8169,0.9248,0.0,0.0,0.0,18.9339,0.6136,0.5484,0.0392,0.1465,0.0,0.7577,0.4172,0.0,0.4183,0.0,0.0,83.0,37.0,73.0,46.0,64.0,28.0,24 %ile,44 %ile,31 %ile
Georgia,Fulton County,13121010215,93,75,79,0.0263,1519,0.0375,0.4757,0.0,0.8143,0.9248,0.0,0.0,0.0,99.9603,0.4556,0.5484,0.0392,0.1465,0.0,0.7598,0.4172,0.6659,0.4183,0.0,0.0,83.0,36.0,69.0,46.0,59.0,28.0,91 %ile,19 %ile,15 %ile
Georgia,Fulton County,13121010216,96,82,79,0.4192,4150,0.2136,0.4757,0.0,0.8702,0.9248,0.0,0.0,0.0,100.0,0.6136,0.5484,0.0392,0.1551,0.0,0.7306,0.4567,0.6659,0.4143,0.0,0.0,84.0,39.0,75.0,45.0,69.0,31.0,8 %ile,47 %ile,38 %ile
Georgia,Fulton County,13121010217,96,82,52,0.1411,2651,0.3197,0.4757,0.0,0.8432,0.9248,0.0,0.0,0.0,100.0,0.4867,0.5484,0.0392,0.1551,0.0,0.7534,0.4558,0.6659,0.4176,0.0,0.0,84.0,38.0,71.0,45.0,63.0,28.0,40 %ile,44 %ile,35 %ile
Georgia,Fulton County,13121010218,95,74,76,0.2033,1633,0.4442,0.4757,0.0,0.8143,0.9248,0.0,0.0,0.0,95.5103,0.6136,0.5484,0.0392,0.1465,0.0,0.7551,0.4172,0.6659,0.4183,0.0,0.0,84.0,37.0,64.0,46.0,62.0,28.0,23 %ile,44 %ile,31 %ile
Georgia,Fulton County,13121010219,95,74,54,0.1238,2154,0.288,0.4757,0.0,0.8143,0.9248,0.0,0.0,0.0,100.0,0.4867,0.5484,0.0392,0.1551,0.0,0.7514,0.4172,0.6659,0.4183,0.0,0.0,84.0,37.0,63.0,46.0,58.0,22.0,0 %ile,26 %ile,20 %ile
Georgia,Fulton County,13121010220,98,85,95,0.2411,4449,0.1925,0.6153,0.0,0.8971,0.9248,0.0,0.0,0.0,97.9284,0.6136,0.599,0.0392,0.1465,0.0,0.7128,0.4824,0.6659,0.392,0.0,0.0,85.0,40.0,80.0,45.0,78.0,34.0,66 %ile,26 %ile,21 %ile
